VENUE,CONFERENCE,YEAR,TITLE,DOI,TYPE ,CONF/JOUR,Keyword,abstract,usefull,AUTHORS,SCOPE,domain,disciplina,disciplina di visualizzazione,ATTACK THE FILTERING PROBLEM?,NAME,Multi windows system,fs1,fs2,fm,fc,fs2,tot_filtri,filter 1 to 1 or 1 to n,dm1,dm2,dm3,dm4,tot_manip,Spatial_distibution,summary of the filter actions. it is always visualized,"level of relations among filters (AND, OR, NOT)",presence of feedback ( like the currrent selection is connected to the filter.) ,presence of guidance,feedback level on filters,presence_feed,presence_guid,Representation ,filter1,filter2,feed1,feed2,act1,act2,guidance level on filters,guidance level on principal overview (visualization overview),guid1,guid2,Presence,rep1,rep2,layout,figures used,NOTES
TVCG,,2022,"Multicriteria Scalable Graph Drawing via Stochastic Gradient Descent, (SGD)2",https://doi.org/10.1109/TVCG.2022.3155564,system paper,JOUR,,,,"Reyan Ahmed, Felice De Luca, Sabin Devkota, Stephen Kobourov , and Mingwei Li",in scope,agnostic,graph/network analysis,,no,,unique window,,,,7,,7,,,,,,0,unified,list,default,yes,no,low,yes,yes,simple,slider,,quality of selection,,drag,,none,no,,,no,,,30%,Fig. 1,DEMO http://hdc.cs.arizona.edu/~mwli/graph-drawing/
TVCG,,2022,WYSIWYG Design of Hypnotic Line Art,https://doi.org/10.1109/TVCG.2020.3032734,system paper,JOUR,,,,"Chih-Kuo Yeh, Zhanping Liu, I-Hsuan Lin, Eugene Zhang and Tong-Yee Lee",in scope,art,,,no,,unique window,9,,,,,9,,,,,,0,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,10%,Fig. 10,
TVCG,,2022,VisInReport: Complementing Visual Discourse Analytics Through Personalized Insight Reports,https://doi.org/10.1109/TVCG.2021.3104026,system paper,JOUR,,,,"Rita Sevastjanova, Mennatallah El-Assady, Adam Bradley, Christopher Collins, Miriam Butt, and Daniel Keim",in scope,agnostic,text/document analysis,,no,,unique window,,,,,,0,,2,1,,,3,,,,,,,,,,,,,,,,,,,,,,,0%,Fig. 3,
TVCG,,2022,S4: Self-Supervised Learning of Spatiotemporal Similarity,https://doi.org/10.1109/TVCG.2021.3101418,system paper,JOUR,,,,"Gleb Tkachev, Steffen Frey and Thomas Ertl",in scope,agnostic,ml,,no,,unique window,,1,,,1,2,,1,,,,1,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,2%,Fig. 2,
TVCG,,2022,Performance Improvement and Skill Transfer in Table Tennis Through Training in Virtual Reality,https://doi.org/10.1109/TVCG.2021.3086403,system paper,JOUR,,,,"Hawkar Oagaz, Breawn Schoun and Min-Hyung Choi",in scope,sport,,,no,,unique window,17,7,,,,24,,,,,,0,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,15%,Fig. 1,
TVCG,,2022,CriPAV: Street-Level Crime Patterns Analysis and Visualization,https://doi.org/10.1109/TVCG.2021.3111146,system paper,JOUR,,,,"Germain Garcı´a-Zanabria , Marcos M. Raimundo, Jorge Poco, Marcelo Batista Nery, Claudio T. Silva, Sergio Adorno, and Luis Gustavo Nonato",in scope,crime analysis,,,no,,unique window,6,2,,,,8,,6,3,,,9,unified,absent,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,10%,Fig. 7,
TVCG,,2022,Influence Maximization With Visual Analytics,https://doi.org/10.1109/TVCG.2022.3190623,system paper,JOUR,,,,"Alessio Arleo, Walter Didimo, Giuseppe Liotta, Silvia Miksch and Fabrizio Montecchiani",in scope,,,,no,,unique window,4,2,,,,6,,2,,,,2,unified,absent,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,7%,Fig. 1,
TVCG,,2022,Visual Drift Detection for Event Sequence Data of Business Processes,https://doi.org/10.1109/TVCG.2021.3050071,system paper,JOUR,,,,"Anton Yeshchenko, Claudio Di Ciccio, Jan Mendling and Artem Polyvyanyy",in scope,agnostic,sequence visualization,,no,,unique window,3,5,,,,8,,,,,,0,unified,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,25%,Fig. 6,valutare se distributed compact o unified
TVCG,,2022,GridSet: Visualizing Individual Elements and Attributes for Analysis of Set-Typed Data,https://doi.org/10.1109/TVCG.2020.3047111,system paper,JOUR,,,,"Haeyong Chung, Santhosh Nandhakumar and Seungwon Yang",in scope,agnostic,set visualization,,no,,unique window,23,2,,,1,26,,3,3,,,6,distributed compact,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,20%,Fig. 1,
TVCG,,2022,Exploratory Volumetric Deep Earth Visualization by 2.5D Interactive Compositing,https://doi.org/10.1109/TVCG.2020.3037226,system paper,JOUR,,,,"Peter E. Morse, Anya M. Reading, and Tobias Stål",in scope,environmental,,,no,,unique window,12,,,,,12,,1,,,,1,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,10%,Fig. 1,
TVCG,,2022,Umbra: A Visual Analysis Approach for Defense Construction Against Inference Attacks on Sensitive Information,https://doi.org/10.1109/TVCG.2020.3037670,system paper,JOUR,,,,"Xumeng Wang, Chris Bryan, Yiran Li, Rusheng Pan, Yanling Liu, Wei Chen and Kwan-Liu Ma",in scope,cibersecurity and privacy,,,no,,unique window,4,1,,,,5,,7,2,,,9,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,2%,Fig. 2,
TVCG,,2022,VisExPreS: A Visual Interactive Toolkit for User-Driven Evaluations of Embeddings,https://doi.org/10.1109/TVCG.2020.3039106,system paper,JOUR,,,,"Aindrila Ghosh, Mona Nashaat, James Miller and Shaikh Quader",in scope,agnostic,embeddings,,no,,unique window,15,5,,,,20,,2,,,,2,distributed compact,absent,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,30%,Fig. 1,corner case: la guida la chiedo io
,VIS,2021,Kori: Interactive Synthesis of Text and Charts in Data Documents,https://doi.org/10.1109/TVCG.2021.3114802,system paper,CONF,,,,"Shahid Latif, Zheng Zhou, Yoon Kim, Fabian Beck, and Nam Wook Kim",in scope,storytelling,,,no,,unique window,2,3,,,1,6,,2,1,,,3,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,25%,Fig.1,
,VIS,2021,matExplorer: Visual Exploration on Predicting Ionic Conductivity for Solid-state Electrolytes,https://doi.org/10.1109/TVCG.2021.3114812,system paper,CONF,,,,"Jiansu Pu, Hui Shao, Boyang Gao, Zhengguo Zhu, Dr.Yanlin Zhu, Yunbo Rao and Yong Xiang",in scope,,,,no,,unique window,7,6,,,,13,,3,,,,3,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,15%,Fig. 1,
,VIS,2021,Propagating Visual Designs to Numerous Plots and Dashboards,https://doi.org/10.1109/TVCG.2021.3114828,system paper,CONF,,,,"Saiful Khan, Phong H. Nguyen, Alfie Abdul-Rahman, Benjamin Bach, Min Chen, Euan Freeman, Cagatay Turkay",in scope,,,,no,,multi windows,4,,,,,4,,4,,,,4,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,20%,Fig. 1,
,VIS,2021,THALIS: Human-Machine Analysis of Longitudinal Symptoms in Cancer Therapy,https://doi.org/10.1109/TVCG.2021.3114810,system paper,CONF,,,,"Carla Floricel, Nafiul Nipu, Mikayla Biggs, Andrew Wentzel, Guadalupe Canahuate, Lisanne Van Dijk, Abdallah Mohamed, C.David Fuller, and G.Elisabeta Marai",in scope,healthcare,,,no,,unique window,6,3,,,,9,,3,,,,3,distributed compact,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,7%,"Fig. 1, 2, 4",
,VIS,2021,MultiVision: Designing Analytical Dashboards with Deep Learning Based Recommendation,https://doi.org/10.1109/TVCG.2021.3114826,system paper,CONF,,,,"Aoyu Wu, Yun Wang, Mengyu Zhou, Xinyi He, Haidong Zhang, Huamin Qu, and Dongmei Zhang",in scope,agnostic,deep learning,,no,,unique window,12,,,,,12,,3,,,,3,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,20%,"Fig. 1, 7",
,VIS,2021,SightBi: Exploring Cross-View Data Relationships with Biclusters,https://doi.org/10.1109/TVCG.2021.3114801,system paper,CONF,,,,"Maoyuan Sun, Abdul Rahman Shaikh, Hamed Alhoori, Jian Zhao",in scope,,,,no,,multi windows,,,,,,0,,2,1,,,3,,,,,,,,,,,,,,,,,,,,,,,0%,"Fig. 1, 8, 9",
,VIS,2021,TIVEE: Visual Exploration and Explanation of Badminton Tactics in Immersive Visualizations,https://doi.org/10.1109/TVCG.2021.3114861,system paper,CONF,,,,"Xiangtong Chu, Xiao Xie, Shuainan Ye, Haolin Lu, Hongguang Xiao, Zeqing Yuan, Zhutian Chen, Hui Zhang, Yingcai Wu",in scope,sport,,,no,,unique window,,,,,,0,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,0%,Fig. 1,
,VIS,2021,"TimeTubesX: A Query-Driven Visual Exploration of Observable, Photometric, and Polarimetric Behaviors of Blazars",https://doi.org/10.1109/TVCG.2020.3025090,system paper,CONF,,,,"Naoko Sawada, Makoto Uemura, Johanna Beyer, Hanspeter Pfister  and Issei Fujishiro",in scope,Astronomy,,,no,,multi windows,32,1,,1,,34,,1,1,,,2,distributed compact,absent,absent,yes,no,medium,yes,yes,simple,bar chart,,data distribution,,brush,,none,no,,,no,,,40%,"Fig. 4, 5",
,VIS,2021,IRVINE: A Design Study on Analyzing Correlation Patterns of Electrical Engines,https://doi.org/10.1109/TVCG.2021.3114797,system paper,CONF,,,,"Joscha Eirich, Jakob Bonart, Dominik Jackle, Michael Sedlmair, ¨ Ute Schmid, Kai Fischbach, Tobias Schreck, and Jurgen Bernard",in scope,Automotive,,,no,,multi windows,,6,,,1,7,,1,1,,,2,distributed,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,45%,"Fig. 1, 7",
,VIS,2021,AffectiveTDA: Using Topological Data Analysis to Improve Analysis and Explainability in Affective Computing,https://doi.org/10.1109/TVCG.2021.3114784,system paper,CONF,,,,"Hamza Elhamdadi, Shaun Canavan, and Paul Rosen",in scope,agnostic,,,no,,unique window,8,6,,,,14,,2,,,,2,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 1,
,VIS,2021,Deconstructing Categorization in Visualization Recommendation: A Taxonomy and Comparative Study,https://doi.org/10.1109/TVCG.2021.3085751,system paper,CONF,,,,"Doris Jung-Lin Lee, Vidya Setlur, Melanie Tory, Karrie Karahalios, and Aditya Parameswaran",in scope,agnostic,recommendation,,no,,unique window,11,,,,,11,,1,,,,1,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,20%,Fig. 4,
,VIS,2021,Human-in-the-loop Extraction of Interpretable Concepts in Deep Learning Models,https://doi.org/10.1109/TVCG.2021.3114837,system paper,CONF,,,,"Zhenge Zhao, Panpan Xu, Carlos Scheidegger, Liu Ren",in scope,agnostic,deep learning,,no,,unique window,6,1,,4,1,12,,1,,,,1,distributed,absent,absent,yes,no,medium,yes,yes,simple,bar chart,,data distribution,,brush,,none,no,,,no,,,25%,Fig. 1,cross-filter panel
,VIS,2021,Towards Visual Explainable Active Learning for Zero-Shot Classification,https://doi.org/10.1109/TVCG.2021.3114793,system paper,CONF,,,,"Shichao Jia, Zeyu Li, Nuo Chen, Jiawan Zhang",in scope,agnostic,xai,,no,,unique window,1,,,,1,2,,1,1,,,2,unified,list,default,no,no,none,yes,no,,,,,,,,none,yes,,,no,,,2%,FIg. 1,
,VIS,2021,M2Lens: Visualizing and Explaining Multimodal Models for Sentiment Analysis,https://doi.org/10.1109/TVCG.2021.3114794,system paper,CONF,,,,"Xingbo Wang, Jianben He, Zhihua Jin, Muqiao Yang, Yong Wang, Huamin Qu",in scope,agnostic,xai,,no,,unique window,8,5,2,,1,16,,5,1,,,6,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,7%,Fig. 1,
,VIS,2021,NeuroCartography: Scalable Automatic Visual Summarization of Concepts in Deep Neural Networks,https://doi.org/10.1109/TVCG.2021.3114858,system paper,CONF,,,,"Haekyu Park, Nilaksh Das, Rahul Duggal, Austin P. Wright, Omar Shaikh, Fred Hohman, Duen Horng (Polo) Chau",in scope,agnostic,deep learning,,no,,unique window,2,1,,,1,4,,2,,,,2,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,3%,Fig. 1,
,VIS,2021,Visual Analytics for RNN-Based Deep Reinforcement Learning,https://doi.org/10.1109/TVCG.2021.3076749,system paper,CONF,,,,"Junpeng Wang , Wei Zhang, Hao Yang, Chin-Chia Michael Yeh, and Liang Wang",in scope,agnostic,deep learning,,no,,unique window,12,,,,,12,,7,3,,,10,distributed compact,list,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,8%,Fig. 3,
,VIS,2021,VizSnippets: Compressing Visualization Bundles Into Representative Previews for Browsing Visualization Collections,https://doi.org/10.1109/TVCG.2021.3114841,system paper,CONF,,,,Michael Oppermann and Tamara Munzner,in scope,agnostic,visualization,,no,,multi windows,12,21,,,2,35,,,,,,0,distributed,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,15%,Fig. 6,DA RIVEDERE IL NUMERO DEI FILTRI
,VIS,2021,3D Virtual Pancreatography,https://doi.org/10.1109/TVCG.2020.3020958,system paper,CONF,,,,"Shreeraj Jadhav, Konstantin Dmitriev, Joseph Marino, Matthew Barish and Arie E. Kaufman",in scope,healthcare,,,no,,unique window,15,12,,,1,28,,3,,,,3,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,15%,Fig. 9,
,VIS,2021,Semantic Explanation of Interactive Dimensionality Reduction,https://doi.org/10.1109/VIS49827.2021.9623322,system paper,CONF,,,,"Yali Bian, Chris North, Eric Krokos, Sarah Joseph",in scope,agnostic,dimensionality reduction,,no,,unique window,3,1,,,,4,,1,,,,1,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,10%,Fig. 5,
,VIS,2021,VIS30K: A Collection of Figures and Tables From IEEE Visualization Conference Publications,https://doi.org/10.1109/TVCG.2021.3054916,system paper,CONF,,,,"Jian Chen , Meng Ling, Rui Li, Petra Isenberg, Tobias Isenberg, Michael Sedlmair, Torsten Möller, Robert S. Laramee, Han-Wei Shen, Katharina Wünsche, and Qiru Wang",in scope,agnostic,visualization,,no,,unique window,12,1,,1,2,16,,,,,,0,unified,list,default,yes,no,medium,yes,yes,simple,slider,,temporal,,drag,,none,no,,,no,,,40%,Fig. 6,DEMO: https://visimagenavigator.github.io/
,VIS,2021,VITALITY: Promoting Serendipitous Discovery of Academic Literature with Transformers & Visual Analytics,https://doi.org/10.1109/TVCG.2021.3114820,system paper,CONF,,,,"Arpit Narechania, Alireza Karduni, Ryan Wesslen, and Emily Wall",in scope,agnostic,text/document analysis,,no,,unique window,3,4,,,11,18,,2,1,,,3,distributed,list,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,20%,Fig. 1,
,VIS,2021,Seek for Success: A Visualization Approach for Understanding the Dynamics of Academic Careers,https://doi.org/10.1109/TVCG.2021.3114790,system paper,CONF,,,,"Yifang Wang, Tai-Quan Peng, Huihua Lu, Haoren Wang, Xiao Xie, Huamin Qu, and Yingcai Wu",in scope,scientometrics,,,no,,unique window,1,4,,,,5,,3,1,,,4,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 3,
,VIS,2021,Text Visualization and Close Reading for Journalism with Storifier,https://doi.org/10.1109/VIS49827.2021.9623264,system paper,CONF,,,,"Nicole Sultanum, Anastasia Bezerianos, Fanny Chevalier",in scope,Journalism,,,no,,unique window,1,,,5,2,8,,3,,,,3,unified,absent,absent,yes,no,low,yes,yes,simple,label,,data distribution,,click,,none,no,,,no,,,25%,Fig. 1,
,VIS,2021,QuteVis: Visually Studying Transportation Patterns Using Multisketch Query of Joint Traffic Situations,https://doi.org/10.1109/MCG.2019.2911230,system paper,CONF,,,,"Shamal AL-Dohuki, Ye Zhao, Farah Kamw, Jing Yang, Xinyue Ye, Wei Chen",in scope,Urban,,,no,,unique window,6,,,,1,7,,3,,,,3,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,10%,Fig. 2,
,VIS,2021,MiningVis: Visual Analytics of the Bitcoin Mining Economy,https://doi.org/10.1109/TVCG.2021.3114821,system paper,CONF,,,,"Natkamon Tovanich, Nicolas Soulie, Nicolas Heulot, and Petra Isenberg",in scope,Crypto,,,no,,unique window,10,1,,1,1,13,,5,,,,5,distributed,absent,absent,yes,no,medium,yes,yes,simple,line chart,,temporal,,brush,,none,no,,,no,,,25%,Fig. 1,
,VIS,2021,VideoModerator: A Risk-aware Framework for Multimodal Video Moderation in E-Commerce,https://doi.org/10.1109/TVCG.2021.3114781,system paper,CONF,,,,"Tan Tang, Yanhong Wu, Lingyun Yu, Yuhong Li and Yingcai Wu",in scope,finance,,,no,,unique window,5,1,,,,6,,4,,,,4,distributed compact,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 4,DEMO: https://videomoderator.github.io/
,VIS,2021,CoUX: Collaborative Visual Analysis of Think-Aloud Usability Test Videos for Digital Interfaces,https://doi.org/10.1109/TVCG.2021.3114822,system paper,CONF,,,,"Ehsan Jahangirzadeh Soure, Emily Kuang, Mingming Fan and Jian Zhao",in scope,agnostic,image/video analysis,,no,,unique window,1,1,,,,2,,3,,,,3,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 2,
,VIS,2021,A Visualization Approach for Monitoring Order Processing in E-Commerce Warehouse,https://doi.org/10.1109/TVCG.2021.3114878,system paper,CONF,,,,"Junxiu Tang, Yuhua Zhou, Tan Tang, Di Weng, Boyang Xie, Lingyun Yu, Huaqiang Zhang, and Yingcai Wu",in scope,finance,,,no,,unique window,3,5,,,,8,,4,2,,,6,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 7,
,VIS,2021,Real-Time Visual Analysis of High-Volume Social Media Posts,https://doi.org/10.1109/TVCG.2021.3114800,system paper,CONF,,,,"Johannes Knittel, Steffen Koch, Tan Tang, Wei Chen, Yingcai Wu, Shixia Liu, Thomas Ertl",in scope,social media,,,no,,unique window,,1,1,,1,3,,5,,,,5,unified,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,20%,Fig. 1,
,VIS,2021,Augmenting Sports Videos with VisCommentator,https://doi.org/10.1109/TVCG.2021.3114806,system paper,CONF,,,,"Zhutian Chen, Shuainan Ye, Xiangtong Chu, Haijun Xia, Hui Zhang, Huamin Qu, and Yingcai Wu",in scope,sport,,,no,,unique window,5,,,,,5,,1,,,,1,distributed compact,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 5,
,VIS,2021,TacticFlow: Visual Analytics of Ever-Changing Tactics in Racket Sports,https://doi.org/10.1109/TVCG.2021.3114832,system paper,CONF,,,,"Jiang Wu, Dongyu Liu, Ziyang Guo, Qingyang Xu, and Yingcai Wu",in scope,sport,,,no,,unique window,2,,,,,2,,3,1,,,4,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,2%,Fig. 1,
,VIS,2021,Compass: Towards Better Causal Analysis of Urban Time Series,https://doi.org/10.1109/TVCG.2021.3114875,system paper,CONF,,,,"Zikun Deng, Di Weng, Xiao Xie, Jie Bao, Yu Zheng, Mingliang Xu, Wei Chen, and Yingcai Wu",in scope,Urban,,,no,,unique window,,,,,,0,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,0%,Fig. 1,
,VIS,2021,Visual Cascade Analytics of Large-Scale Spatiotemporal Data,https://doi.org/10.1109/TVCG.2021.3071387,system paper,CONF,,,,"Zikun Deng, Di Weng, Yuxuan Liang, Jie Bao, Yu Zheng, Tobias Schreck, Mingliang Xu and Yingcai Wu",in scope,Urban,,,no,,unique window,,2,,,,2,,4,1,,,5,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,1%,fig. 4,
,VIS,2021,DDLVis: Real-time Visual Query of Spatiotemporal Data Distribution via Density Dictionary Learning,https://doi.org/10.1109/TVCG.2021.3114762,system paper,CONF,,,,"Chenhui Li, George Baciu, Yunzhe Wang, Junjie Chen, and Changbo Wang",in scope,Urban,,,no,,unique window,6,2,,,,8,,3,1,,,4,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 1,timeline immersa
,VIS,2021,"Implicit Error, Uncertainty and Confidence in Visualization: An Archaeological Case Study",https://doi.org/10.1109/TVCG.2021.3088339,system paper,CONF,,,,"Georgia Panagiotidou, Ralf Vandam, Jeroen Poblome, and Andrew Vande Moere",in scope,history,,,no,,unique window,2,,,,1,3,,2,,,,2,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 2,
,VIS,2021,Geo-Context Aware Study of Vision-Based Autonomous Driving Models and Spatial Video Data,https://doi.org/10.1109/TVCG.2021.3114853,system paper,CONF,,,,"Suphanut Jamonnak, Ye Zhao, Xinyi Huang, and Md Amiruzzaman",in scope,Automotive,,,no,,multi windows,11,,,3,,14,,4,3,,,7,distributed,absent,absent,yes,no,high,yes,yes,complex,label,,count,,click,,none,no,,,no,,,35%,"Fig. 1, 7, 8",
,VIS,2021,Where Can We Help? A Visual Analytics Approach to Diagnosing and Improving Semantic Segmentation of Movable Objects,https://doi.org/10.1109/TVCG.2021.3114855,system paper,CONF,,,,"Wenbin He, Lincan Zou, Arvind Kumar Shekar, Liang Gou, and Liu Ren",in scope,Automotive,,,no,,unique window,14,,,,,14,,2,,,,2,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,18%,Fig. 1,
,VIS,2021,Visual Evaluation for Autonomous Driving,https://doi.org/10.1109/TVCG.2021.3114777,system paper,CONF,,,,"Yijie Hou, Chengshun Wang, Junhong Wang, Xiangyang Xue, Xiaolong (Luke) Zhang, Jun Zhu, Dongliang Wang, Siming Chen",in scope,Automotive,,,no,,unique window,,,,,,0,,1,3,,,4,,,,,,,,,,,,,,,,,,,,,,,0%,Fig. 1,
,VIS,2021,Interactive Visual Exploration of Longitudinal Historical Career Mobility Data,https://doi.org/10.1109/TVCG.2021.3067200,system paper,CONF,,,,"Yifang Wang, Hongye Liang, Xinhuan Shu, Jiachen Wang, Ke Xu, Zikun Deng, Cameron Campbell, Bijia Chen, Yingcai Wu and Huamin Qu",in scope,,,,no,,unique window,4,4,,3,,11,,1,,,,1,distributed compact,list,absent,yes,no,medium,yes,yes,simple,bar chart,,data distribution,,brush,,none,no,,,no,,,22%,Fig. 2,
,VIS,2021,VisQA: X-raying Vision and Language Reasoning in Transformers,https://doi.org/10.1109/TVCG.2021.3114683,system paper,CONF,,,,"Theo Jaunet, Corentin Kervadec, Romain Vuillemot, Grigory Antipov, Moez Baccouche, and Christian Wolf",in scope,agnostic,nlp,,no,,unique window,3,,,,,3,,3,,,,3,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 1,DEMO: https://visqa.liris.cnrs.fr/
,VIS,2021,TimeElide: Visual Analysis of Non-Contiguous Time Series Slices,https://doi.org/10.1109/VIS49827.2021.9623320,system paper,CONF,,,,"Michael Oppermann, Luce Liu, Tamara Munzner",in scope,agnostic,time-series,,no,,unique window,9,3,,,,12,,,,,,0,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 1,DEMO: http://www.cs.ubc.ca/group/infovis/time-elide/
,VIS,2021,HisVA: A Visual Analytics System for Studying History,https://doi.org/10.1109/TVCG.2021.3086414,system paper,CONF,,,,"Dongyun Han, Gorakh Parsad, Hwiyeon Kim, Jaekyom Shim, Oh-Sang Kwon, Kyung A. Son, Jooyoung Lee, Isaac Cho and Sungahn Ko",in scope,Education,,,no,,unique window,5,1,,,1,7,,6,,,,6,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,10%,Fig. 2,
,VIS,2021,"CellProfiler Analyst Web (CPAW) - Exploration, analysis, and classification of biological images on the web",https://doi.org/10.1109/VIS49827.2021.9623317,system paper,CONF,,,,"Bella Baidak, Yahiya Hussain, Emma Kelminson, Thouis R. Jones, Loraine Franke, Daniel Haehn",in scope,biology,,,no,,unique window,1,,,,,1,,1,1,,,2,unified,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,1%,Fig. 2,DEMO: https://mpsych.github.io/CellProfilerAnalystWeb/#
,VIS,2021,Inspecting the Running Process of Horizontal Federated Learning via Visual Analytics,https://doi.org/10.1109/TVCG.2021.3074010,system paper,CONF,,,,"Quan Li, Xiguang Wei, Huanbin Lin, Yang Liu, Tianjian Chen, and Xiaojuan Ma",in scope,agnostic,ML,,no,,unique window,3,,,,,3,,4,2,,,6,distributed,list,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 3,
,VIS,2021,Visual Analysis of Hyperproperties for Understanding Model Checking Results,https://doi.org/10.1109/TVCG.2021.3114866,system paper,CONF,,,,"Tom Horak, Norine Coenen, Niklas Metzger, Christopher Hahn, Tamara Flemisch, Julian Méndez, Dennis Dimov, Bernd Finkbeiner, and Raimund Dachselt",in scope,,,,no,,unique window,1,,,,1,2,,3,,,,3,unified,absent,absent,no,no,none,yes,no,,,,,,,,none,yes,,,no,,,2%,"Fig. 1, 6",
,VIS,2021,A Mixed-Initiative Visual Analytics Approach for Qualitative Causal Modeling,https://doi.org/10.1109/VIS49827.2021.9623318,system paper,CONF,,,,"Fahd Husain, Pascale Proulx, Meng-Wei Chang, Rosa Romero-Gomez, Holland Vasquez",in scope,,,,no,,multi windows,11,4,,,,15,,,1,,,1,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,20%,Fig. 1,
,VIS,2021,An Evaluation-Focused Framework for Visualization Recommendation Algorithms,https://doi.org/10.1109/TVCG.2021.3114814,system paper,CONF,,,,"Zehua Zeng, Phoebe Moh, Fan Du, Jane Hoffswell, Tak Yeon Lee, Sana Malik, Eunyee Koh, and Leilani Battle",in scope,,,,no,,unique window,16,,,,,16,,,,,,0,distributed compact,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,15%,Fig. 4,
,VIS,2021,GlyphCreator: Towards Example-based Automatic Generation of Circular Glyphs,https://doi.org/10.1109/TVCG.2021.3114877,system paper,CONF,,,,"Lu Ying, Tan Tang, Yuzhe Luo, Lvkeshen Shen, Xiao Xie, Lingyun Yu, Yingcai Wu",in scope,agnostic,visualization,,no,,unique window,2,5,,,,7,,,1,,,1,unified,list,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,15%,Fig. 7,
,VIS,2021,Understanding the Effects of Visualizing Missing Values on Visual Data Exploration,https://doi.org/10.1109/VIS49827.2021.9623328,system paper,CONF,,,,"Hayeong Song, Yu Fu, Bahador Saket, John Stasko",in scope,agnostic,visualization,,no,,unique window,3,,,,1,4,,1,,,,1,distributed,absent,default,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,Fig. 1,
,VIS,2021,VBridge: Connecting the Dots Between Features and Data to Explain Healthcare Models,https://doi.org/10.1109/TVCG.2021.3114836,system paper,CONF,,,,"Furui Cheng, Dongyu Liu, Fan Du, Yanna Lin, Alexandra Zytek, Haomin Li, Huamin Qu, and Kalyan Veeramachaneni",in scope,healthcare,,,no,,unique window,1,,,,,1,,2,,,,2,unified,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,1%,Fig. 1,
